Restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link
163,Burger King,4,"Burger, Fast Food, Beverages, Desserts",4625,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/burger-king-marathahalli-bangalore/order
164,Anjappar,4.1,"South Indian, Chettinad, Biryani, Seafood, Chinese, North Indian, Desserts, Beverages",6294,"Koramangala 4th Block, Bangalore",77.6294052,12.9327778,https://www.zomato.com/bangalore/anjappar-koramangala-4th-block/order
165,Donne Biriyani House,3.1,"Biryani, Mughlai",1130,"Kadubeesanahalli, Bangalore",77.6972484,12.942199,https://www.zomato.com/bangalore/donne-biriyani-house-kadubeesanahalli-bangalore/order
166,Nandhini Deluxe,4,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",7760,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/nandhini-deluxe-jp-nagar-bangalore/order
167,Pizza Hut,3.9,"Pizza, Fast Food, Desserts, Beverages",4310,"Shanti Nagar, Bangalore",77.5979099,12.9575547,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order
168,WarmOven Cake & Desserts,3.6,"Bakery, Desserts, Ice Cream, Shake",673,"Vasanth Nagar, Bangalore",77.58516878,12.98872125,https://www.zomato.com/bangalore/warmoven-cake-desserts-vasanth-nagar-bangalore/order
169,Goli Vada Pav No 1,3.9,"Street Food, Burger, Fast Food, Ice Cream",150,"KR Puram, Bangalore",77.695935,13.007516,https://www.zomato.com/bangalore/goli-vada-pav-no-1-2-kr-puram-bangalore/order
170,Sardarji Londonwaley,3.5,"North Indian, Chinese, Mughlai",5871,"Thippasandra, Bangalore",77.6509982,12.973936,https://www.zomato.com/bangalore/sardarji-londonwaley-thippasandra-bangalore/order
171,Pizza Republic,3.8,"Pizza, Fast Food",6074,"Bommasandra, Bangalore",77.6916113,12.8162443,https://www.zomato.com/bangalore/pizza-republic-bommasandra-bangalore/order
172,Wheat Barn,4.1,"Pizza, Street Food, Fast Food",1203,"Koramangala 6th Block, Bangalore",77.6238477,12.9390255,https://www.zomato.com/bangalore/wheat-barn-koramangala-6th-block-bangalore/order
173,McDonald's,4.1,"Burger, Fast Food, Beverages",13400,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/mcdonalds-1-electronic-city-bangalore/order
174,Subway,3.9,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",2239,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/subway-sarjapur-road-bangalore/order
175,The Salad Studio,4.3,"Salad, Healthy Food",2007,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/bangalore/the-salad-studio-koramangala-5th-block-bangalore/order
176,Donne Biryani Mane,3.5,"Biryani, South Indian",6655,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/donne-biryani-mane-new-bel-road/order
177,The Red Box,3.5,"Chinese, Thai, Sichuan",4498,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/the-red-box-hsr-bangalore/order
178,Subway,3.8,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",288,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/subway-jayanagar-bangalore/order
179,Beijing Bites,3.6,"Chinese, Thai, Seafood, Healthy Food, Sichuan",2401,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/beijing-bites-rajajinagar-bangalore/order
180,Fresca,3.5,"Fast Food, Italian",255,"Brookefield, Bangalore",77.7168891,12.9668213,https://www.zomato.com/bangalore/fresca-1-brookefield-bangalore/order
181,Big Bowl Company,3.7,"North Indian, Chinese, Sichuan",315,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/big-bowl-company-marathahalli-bangalore/order
182,Andhra Gunpowder,4.2,"Andhra, Biryani, Desserts, Beverages",3344,"Koramangala 6th Block, Bangalore",77.6238477,12.9390255,https://www.zomato.com/bangalore/andhra-gunpowder-koramangala-6th-block-bangalore/order
183,Nandhini Deluxe,3.8,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",8958,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/bangalore/nandhini-deluxe-koramangala-5th-block-bangalore/order
184,Punjabi Nawabi,3.7,"North Indian, Biryani, Mughlai, Chinese, Kebab",27400,"Koramangala 7th Block, Bangalore",77.6134783,12.9364846,https://www.zomato.com/bangalore/punjabi-nawabi-koramangala-7th-block-bangalore/order
185,Juice Junction,4.5,"Juices, Sandwich, Beverages, Shake",535,"Residency Road, Bangalore",77.6206061,13.0529476,https://www.zomato.com/bangalore/juice-junction-residency-road/order
186,Shahi Family Restaurant,3.6,"North Indian, Chinese, South Indian, Biryani",12600,"Ulsoor, Bangalore",77.6246697,12.9778793,https://www.zomato.com/bangalore/shahi-family-restaurant-ulsoor-bangalore/order
187,Mani's Dum Biryani,4.1,"Biryani, Kebab",21600,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/manis-dum-biryani-whitefield-bangalore/order
188,Ovenstory Pizza,4.5,"Pizza, Fast Food",3873,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/ovenstory-pizza-jp-nagar/order
189,Anand Sweets And Savouries,4.3,"Mithai, Street Food, Beverages, Desserts",3778,"Old Airport Road, Bangalore",77.6663946,12.9583828,https://www.zomato.com/bangalore/anand-sweets-and-savouries-airport-road-bangalore/order
190,New Udupi Delicacy,3.8,"South Indian, North Indian, Chinese, Shake",6878,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/new-udupi-delicacy-whitefield-bangalore/order
191,FreshMenu,3.5,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages",294,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/freshmenu-sarjapur-road-bangalore/order
192,Tharavadu,3.6,"Kerala, Biryani, Chinese, Sichuan",461,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/bangalore/tharavadu-koramangala-5th-block-bangalore/order
193,Biryani By Kilo,4.3,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",1046,"Kanakapura Road, Bangalore",77.5449181,12.8773096,https://www.zomato.com/bangalore/biryani-by-kilo-kanakapura-road-bangalore/order
194,Bucket Biryani,4.3,"North Indian, Biryani, Chinese, Mughlai",0,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/bucket-biryani-1-hsr-bangalore/order
195,Shree Muthahalli Veg,4.2,"South Indian, North Indian, Street Food, Chinese, Beverages, Shake, Desserts",29700,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/shree-muthahalli-veg-hsr/order
196,Taco Bell,3.3,"Mexican, Fast Food, Wraps, Beverages",38,"Forum Shantiniketan Mall, Whitefield, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/taco-bell-itpl-main-road-whitefield-bangalore/order
